"Местное время в Москве (центр, Балчуг)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.05.2021 21:00";"14.4";"750.8";"762.0";"";"63";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"20.1";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"7.3";"Осадков нет";"12";"";"";"";"";
"13.05.2021 18:00";"16.4";"750.7";"761.8";"";"51";"Ветер, дующий с юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"6.1";"Осадков нет";"12";"";"";"";"";
"13.05.2021 15:00";"18.2";"751.6";"762.7";"";"40";"Ветер, дующий с юго-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.2";"";"";"";"";"";"";
"13.05.2021 12:00";"19.1";"752.2";"763.1";"";"39";"Ветер, дующий с востоко-юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"4.6";"";"";"";"";"";"";
"13.05.2021 09:00";"15.5";"753.1";"764.3";"";"55";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"9.3";"";"";"";"";"";"";"10.0";"6.5";"0.8";"12";"Поверхность почвы влажная.";"8.0";"";"";
"13.05.2021 06:00";"10.5";"753.7";"765.1";"";"82";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"9.3";"";"";"";"";"";"";"10.0";"7.5";"1.0";"12";"";"";"";"";
"13.05.2021 03:00";"10.7";"753.4";"764.7";"";"82";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"10.0";"7.7";"";"";"";"";"";"";
"13.05.2021 00:00";"14.5";"752.4";"763.5";"";"82";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"11.5";"";"";"";"";"";"";
"12.05.2021 21:00";"15.9";"752.3";"763.4";"";"71";"Ветер, дующий с востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"10.6";"5.0";"12";"";"";"";"";
"12.05.2021 18:00";"16.3";"753.5";"764.5";"";"76";"Ветер, дующий с востоко-юго-востока";"1";"";"11";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"10.0";"12.1";"4.0";"12";"";"";"";"";
"12.05.2021 15:00";"24.5";"753.7";"764.5";"";"34";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"10.0";"7.4";"";"";"";"";"";"";
"12.05.2021 12:00";"17.9";"757.1";"768.1";"";"59";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"9.8";"";"";"";"";"";"";
"12.05.2021 09:00";"15.3";"758.5";"769.7";"";"67";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"13.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"9.2";"Осадков нет";"12";"Поверхность почвы влажная.";"9.0";"";"";
"12.05.2021 06:00";"14.1";"758.7";"769.9";"";"70";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"13.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"8.6";"Осадков нет";"12";"";"";"";"";
"12.05.2021 03:00";"14.2";"758.5";"769.7";"";"71";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"8.9";"";"";"";"";"";"";
"12.05.2021 00:00";"17.3";"758.6";"769.8";"";"52";"Ветер, дующий с востоко-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.4";"";"";"";"";"";"";
"11.05.2021 21:00";"19.4";"757.8";"768.8";"";"35";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"23.7";"";"";"";"";"";"10.0";"3.5";"Осадков нет";"12";"";"";"";"";
"11.05.2021 18:00";"23.4";"757.2";"768.1";"";"24";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"1.9";"Осадков нет";"12";"";"";"";"";
"11.05.2021 15:00";"22.9";"757.8";"768.7";"";"22";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-0.1";"";"";"";"";"";"";
"11.05.2021 12:00";"19.4";"758.7";"769.8";"";"25";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-1.4";"";"";"";"";"";"";
"11.05.2021 09:00";"15.2";"759.4";"770.7";"";"34";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"8.4";"";"";"";"";"";"";"10.0";"-0.6";"Осадков нет";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"3.0";"";"";
"11.05.2021 06:00";"9.9";"759.5";"771.0";"";"44";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"8.4";"";"";"";"";"";"";"10.0";"-2.0";"Осадков нет";"12";"";"";"";"";
"11.05.2021 03:00";"9.1";"759.1";"770.6";"";"43";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-2.8";"";"";"";"";"";"";
"11.05.2021 00:00";"11.0";"758.8";"770.2";"";"37";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-3.3";"";"";"";"";"";"";
"10.05.2021 21:00";"14.1";"758.6";"769.9";"";"27";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"17.0";"";"";"";"";"";"10.0";"-4.7";"Осадков нет";"12";"";"";"";"";
"10.05.2021 18:00";"16.8";"758.0";"769.2";"";"20";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.2";"Осадков нет";"12";"";"";"";"";
"10.05.2021 15:00";"16.2";"758.2";"769.3";"";"20";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.6";"";"";"";"";"";"";
"10.05.2021 12:00";"14.0";"758.5";"769.8";"";"23";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.7";"";"";"";"";"";"";
"10.05.2021 09:00";"11.3";"758.3";"769.7";"";"26";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"-7.4";"Осадков нет";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"2.0";"";"";
"10.05.2021 06:00";"7.8";"757.3";"768.8";"";"36";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"-6.5";"Осадков нет";"12";"";"";"";"";
"10.05.2021 03:00";"7.8";"755.7";"767.2";"";"42";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-4.3";"";"";"";"";"";"";
"10.05.2021 00:00";"8.9";"754.1";"765.5";"";"41";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-3.9";"";"";"";"";"";"";
"09.05.2021 21:00";"10.3";"752.4";"763.8";"";"40";"Ветер, дующий с западо-северо-запада";"1";"";"";"60%.";" ";"";"";"";"10.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-2.8";"Осадков нет";"12";"";"";"";"";
"09.05.2021 18:00";"10.4";"750.9";"762.1";"";"46";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-0.7";"Осадков нет";"12";"";"";"";"";
"09.05.2021 15:00";"8.6";"749.7";"761.0";"";"60";"Ветер, дующий с западо-северо-запада";"3";"";"10";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"";"";"10.0";"1.3";"";"";"";"";"";"";
"09.05.2021 12:00";"6.7";"747.8";"759.2";"";"67";"Ветер, дующий с северо-запада";"2";"";"11";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"";"";"10.0";"1.0";"";"";"";"";"";"";
"09.05.2021 09:00";"6.2";"745.9";"757.3";"";"72";"Ветер, дующий с северо-запада";"4";"10";"10";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"1.5";"0.5";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"7.0";"";"";
"09.05.2021 03:00";"7.4";"741.9";"753.1";"";"84";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.9";"";"";"";"";"";"";
"09.05.2021 00:00";"8.9";"740.6";"751.9";"";"89";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"7.2";"";"";"";"";"";"";
"08.05.2021 21:00";"9.2";"740.8";"751.9";"";"92";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"9.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"8.0";"33.0";"12";"";"";"";"";
"08.05.2021 18:00";"9.5";"742.0";"753.1";"";"91";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный сильный в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.0";"8.1";"34.0";"12";"";"";"";"";
"08.05.2021 15:00";"9.6";"743.2";"754.4";"";"90";"Ветер, дующий с востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"8.1";"";"";"";"";"";"";
"08.05.2021 12:00";"9.2";"744.0";"755.2";"";"90";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный умеренный в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"7.7";"";"";"";"";"";"";
"08.05.2021 09:00";"7.9";"745.5";"756.8";"";"89";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный умеренный в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"7.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"6.1";"9.0";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"6.0";"";"";
"08.05.2021 06:00";"9.1";"747.0";"758.2";"";"74";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"9.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.6";"0.5";"12";"";"";"";"";
"08.05.2021 03:00";"10.8";"746.9";"758.2";"";"42";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-1.6";"";"";"";"";"";"";
"08.05.2021 00:00";"11.4";"747.7";"759.0";"";"39";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-2.2";"";"";"";"";"";"";
"01.05.2021 12:00";"11.0";"747.6";"758.8";"";"34";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-4.5";"";"";"";"";"";"";
"01.05.2021 09:00";"8.0";"745.8";"757.1";"";"71";"Ветер, дующий с северо-северо-запада";"3";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"7.1";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.0";"5.0";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"8.0";"";"";
"01.05.2021 06:00";"8.9";"743.4";"754.6";"";"79";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"8.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"5.4";"4.0";"12";"";"";"";"";
"01.05.2021 03:00";"10.9";"742.0";"753.1";"";"80";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"7.6";"";"";"";"";"";"";
"01.05.2021 00:00";"11.7";"741.4";"752.5";"";"85";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"9.2";"";"";"";"";"";"";
"30.04.2021 21:00";"13.7";"741.2";"752.2";"";"69";"Ветер, дующий с запада";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"16.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"8.1";"0.5";"12";"";"";"";"";
"30.04.2021 18:00";"16.5";"741.4";"752.3";"";"47";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"5.0";"Осадков нет";"12";"";"";"";"";
"30.04.2021 15:00";"13.6";"744.0";"755.0";"";"56";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.8";"";"";"";"";"";"";
"30.04.2021 12:00";"12.0";"746.4";"757.6";"";"55";"Ветер, дующий с юго-востока";"1";"";"12";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"3.2";"";"";"";"";"";"";
"30.04.2021 09:00";"11.8";"747.6";"758.8";"";"43";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"7.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-0.6";"Осадков нет";"12";"Поверхность почвы влажная.";"4.0";"";"";
"30.04.2021 06:00";"8.1";"749.1";"760.5";"";"56";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"7.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-0.2";"Осадков нет";"12";"";"";"";"";
"30.04.2021 03:00";"7.6";"750.4";"761.8";"";"58";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.2";"";"";"";"";"";"";
"30.04.2021 00:00";"9.0";"751.6";"763.0";"";"47";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.8";"";"";"";"";"";"";
"29.04.2021 21:00";"9.7";"751.9";"763.3";"";"35";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"11.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-5.2";"Осадков нет";"12";"";"";"";"";
"29.04.2021 18:00";"11.5";"751.9";"763.3";"";"30";"Ветер, дующий с запада";"1";"";"";"60%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.8";"Осадков нет";"12";"";"";"";"";
"29.04.2021 15:00";"11.2";"752.8";"764.1";"";"29";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-6.2";"";"";"";"";"";"";
"29.04.2021 12:00";"9.2";"753.4";"764.8";"";"36";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.3";"";"";"";"";"";"";
"29.04.2021 09:00";"7.4";"753.4";"764.9";"";"54";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"3.9";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.3";"0.5";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"2.0";"";"";
"29.04.2021 06:00";"4.2";"752.8";"764.4";"";"75";"Ветер, дующий с западо-северо-запада";"1";"";"";"40%.";" ";"";"";"3.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.2";"3.0";"12";"";"";"";"";
"29.04.2021 03:00";"4.8";"751.9";"763.5";"";"73";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.4";"";"";"";"";"";"";
"29.04.2021 00:00";"5.3";"751.0";"762.6";"";"77";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"1.6";"";"";"";"";"";"";
"28.04.2021 21:00";"5.8";"750.1";"761.6";"";"81";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"9.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"2.8";"3.0";"12";"";"";"";"";
"28.04.2021 18:00";"7.5";"749.6";"761.0";"";"64";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"10.0";"1.1";"0.8";"12";"";"";"";"";
"28.04.2021 15:00";"8.8";"749.1";"760.4";"";"51";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"1000-1500";"";"";"10.0";"-0.8";"";"";"";"";"";"";
"28.04.2021 12:00";"7.2";"748.9";"760.3";"";"53";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.8";"";"";"";"";"";"";
"28.04.2021 09:00";"6.0";"747.9";"759.3";"";"62";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"2.4";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-0.8";"0.8";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"1.0";"";"";
"28.04.2021 06:00";"2.7";"746.7";"758.2";"";"76";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"2.4";"";"";"";"";"";"";"10.0";"-1.1";"3.0";"12";"";"";"";"";
"28.04.2021 03:00";"3.8";"745.6";"757.1";"";"74";"Ветер, дующий с запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-0.5";"";"";"";"";"";"";
